미국_GDP,영국_GDP,유로존_GDP,일본_GDP,한국_GDP,독일 2년_Price,미국 2년_Price,일본 2년_Price,중국 2년_Price,프랑스 2년_Price,한국 2년_Price,미국_CPI,영국_CPI,유로존_CPI,중국_CPI,한국_CPI,미국_CCI,영국_CCI,유로존_CCI,일본_CCI,한국_CCI,미국_Unemploy,영국_Unemploy,유로존_Unemploy,일본_Unemploy,한국_Unemploy,Germany_DAX_Close,Germany_MDAX_Close,Germany_TecDAX_Close,USA_SP500_Close,USA_NASDAQ_Close,USA_DOW_Close,Euro_STOCKS50_Close,Japan_JASDAQ20_Close,Japan_TOPIX_Close,Japan_NIKKEI_Close,China_FTSE_Close,China_SZSE_Close,China_SANGHAI_Close,France_CAC_Close,France_CACNEXT_Close,France_SBF_Close,Korea_KOSDAQ_Close,Korea_KOSPI200_Close,Korea_KOSPI_Close,UK_FTSE_Close,UK_FTSE250_Close,UK_FTSEALL_Close,CNY_KRW_Close,EUR_KRW_Close,GBP_KRW_Close,JPY_KRW_Close,USD_CNY_Close,USD_GBP_Close,USD_JPY_Close,USD_KRW_Close,미국_GDP_Ann,영국_GDP_Ann,유로존_GDP_Ann,일본_GDP_Ann,한국_GDP_Ann,미국_CPI_Ann,영국_CPI_Ann,유로존_CPI_Ann,중국_CPI_Ann,한국_CPI_Ann,미국_CCI_Ann,영국_CCI_Ann,유로존_CCI_Ann,일본_CCI_Ann,한국_CCI_Ann,미국_Unemploy_Ann,영국_Unemploy_Ann,유로존_Unemploy_Ann,일본_Unemploy_Ann,한국_Unemploy_Ann
0.0236631226195604,0.00073366694281,0.0023342376718526,0.0050818826498426,0.0095261043469386,-0.754,1.7559,-0.196,2.823,-0.662,1.357,0.001458308418353,-6.262055655254176e-05,0.001878157199121,-5.593734023464703e-06,-0.0032532400439019,129.6345217626133,-11.587688136872144,-6.682475030989395,38.19261155451308,96.74011132343487,0.0370291598194949,0.0380696068831694,0.074874949376076,0.0234903584722044,0.0406386937487995,12227.85,25736.98,2838.8,298.83,8207.24,27222.97,3482.83,3686.35,1534.27,21046.24,13373.4,9154.65,2901.18,5550.55,11346.85,4373.74,665.15,270.67,2066.55,7493.09,15006.26,4088.57,170.46,1321.18,1470.35,10.9196,6.8801,0.7966,107.29,1171.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0232816752508393,0.0005150225115692,0.0022973448467028,0.0050275604417765,0.0097715702020083,-0.773,1.8244,-0.199,2.807,-0.677,1.339,0.0015343283604044,-0.0001223877162161,0.0017336060924605,0.0001547238153928,-0.0032853707329915,130.2118541505919,-11.493626051835674,-6.6615068023647295,38.15975359098007,96.654373596596,0.0370234699297568,0.0381088693204794,0.0748802489823355,0.0234508480453797,0.0407243102395961,12260.07,25845.12,2866.58,297.17,8146.49,27154.2,3480.18,3760.56,1563.96,21466.99,13544.76,9228.55,2924.2,5552.34,11455.13,4380.3,674.06,274.55,2094.36,7508.7,15072.73,4098.32,170.89,1318.47,1468.89,10.9079,6.8821,0.7998,107.7,1175.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0229106277155979,0.0003008450984166,0.002261968736757,0.0049730493698456,0.0100062705250586,-0.773,1.850064771735861,-0.2034085564962707,2.7902908602858782,-0.676,1.339,0.0016119011056229,-0.0001790954986611,0.0015679982192198,0.0003210678135444,-0.0033106918300425,130.7851771894889,-11.404539063204904,-6.642555671955254,38.12705340226701,96.5633443663467,0.0370175405509397,0.0381506400057849,0.0748865201495017,0.0234107510107263,0.040808442576203,12245.19901143019,25848.917283657524,2889.2211033629587,296.02961420633903,8126.914085513162,27074.8679578225,3472.347759507043,3788.358142523649,1575.8826478135582,21638.2360870365,13635.86786067606,9240.191052052254,2925.215508338036,5544.441636169815,11477.57353277498,4376.095973702206,679.2086775283037,275.7229069837545,2103.1091691681795,7506.209415605483,15093.565545874086,4098.116848177066,171.13570903043728,1318.0621585678132,1467.6625412731212,10.903845363960537,6.881897336470329,0.8015608292286907,107.89000653080012,1176.7372905470463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0225517168172787,9.181303410935795e-05,0.0022282039758235,0.0049184512739723,0.0102296827686606,-0.7706078550700455,1.8273193781819632,-0.204,2.7812630614148146,-0.6823549242169366,1.339,0.0016906653124928,-0.0002325379235582,0.0013829851185998,0.0004928450773074,-0.0033289742229239,131.35177318212715,-11.321393991528875,-6.625841152759172,38.094588735001416,96.46691564316492,0.0370115504410211,0.0381945706272198,0.0748936942551684,0.0233701695626369,0.0408902601942169,12215.5636941363,25782.590516846387,2893.29160256482,296.4236989048406,8160.077591700465,27062.634829246163,3469.044825982849,3764.5983332694486,1563.809567257134,21489.23896605347,13601.78668189064,9168.22395841392,2902.4450173103046,5540.748652251301,11440.580214213678,4371.649016810912,678.7241877015504,274.65523470774895,2095.390004367122,7494.888638056402,15074.60082853798,4092.249387293764,170.9549312498251,1318.488570825831,1467.313852037765,10.902112713954669,6.881489672436152,0.8007012473550527,107.78832991711998,1175.4026843402949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0222066793593241,-0.0001113953505953,0.0021961451977108,0.0048638679940789,0.0104412843853849,-0.773,1.8165,-0.199,2.78,-0.687,1.337,0.0017702596394983,-0.0002825090105778,0.001180218329802,0.0006694624235576,-0.0033399887995049,131.9089244313295,-11.245157657356629,-6.611582757774686,38.06243733581071,96.36497943752872,0.037005678357979,0.0382403128729181,0.0749017026769295,0.0233292058955042,0.0409689325292346,12289.4,25855.7,2894.01,297.9,8204.14,27171.9,3489.92,3762.63,1556.37,21416.79,13524.79,9122.64,2886.97,5567.02,11472.3,4390.49,674.78,274.55,2093.34,7514.93,15092.98,4102.02,171.03,1317.92,1466.78,10.8988,6.8811,0.8013,107.86,1175.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0218772521451765,-0.0003081017249402,0.002165887036227,0.0048094013700876,0.0106405528278023,-0.78,1.8374,-0.204,2.783,-0.682,1.342,0.0018503227451237,-0.0003288027793905,0.0009613493920273,0.000850326669171,-0.0033435064476546,132.45391323991885,-11.176796881237207,-6.6,38.03067695132242,96.25742775991613,0.037000103059791,0.0382875184310136,0.0749104767923786,0.0232879622037208,0.0410436290168526,12490.74,26154.58,2912.46,300.03,8251.4,27349.19,3532.87,3822.72,1568.82,21620.88,13493.06,9175.83,2899.94,5618.16,11627.49,4431.99,668.65,275.92,2101.45,7556.86,15173.12,4124.22,171.51,1314.58,1466.19,10.8904,6.8792,0.8039,108.21,1178.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0215651719782784,-0.0004976277581681,0.0021375241251806,0.0047551532419208,0.0108269655484837,-0.784,1.8219,-0.203,2.783,-0.695,1.322,0.0019304932878532,-0.0003712132496667,0.0007280298444771,0.0010348446310237,-0.0033392980552421,132.984021910718,-11.11727848371966,-6.591276597595701,37.999385328164,96.1441526208051,0.0369950033044349,0.0383358389896404,0.0749199479791097,0.0232465406816794,0.0411135190926676,12522.89,26290.72,2946.72,301.44,8321.5,27269.97,3532.9,3871.24,1575.09,21709.57,13584.43,9266.3,2923.28,5605.87,11700.09,4427.17,659.83,273.22,2082.3,7501.46,15200.34,4100.36,171.47,1311.52,1469.76,10.8818,6.8725,0.801,108.17,1177.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021272175662072,-0.0006792951195217,0.0021111510983799,0.0047012254495009,0.011,-0.763,1.868,-0.208,2.792,-0.685,1.322,0.0020104099261709,-0.0004095344410769,0.0004819112263524,0.0012224231259916,-0.0033271345101366,133.49653274654992,-11.067569285353024,-6.585453089371942,37.96864021296295,96.02504603067374,0.0369905578498886,0.0383849262369323,0.0749300476147165,0.0232050435237725,0.0411777721922764,12362.1,26099.14,2908.05,300.0,8238.54,27140.98,3510.15,3878.9,1577.85,21756.55,13720.62,9344.82,2937.36,5578.05,11675.57,4406.46,652.4,273.04,2074.48,7489.05,15244.19,4096.03,172.31,1318.75,1474.45,10.8896,6.8726,0.8022,108.62,1183.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021,-0.0008524254782439,0.0020868625896331,0.0046477198327501,0.0111592750044083,-0.756,1.8599,-0.213,2.78,-0.672,1.315,0.0020897113185612,-0.0004435603732916,0.0002246450768545,0.0014124689709507,-0.0033067867002072,133.98872805023734,-11.02863610668634,-6.582534219301257,37.93851935234673,95.9,0.0369869454541297,0.0384344318610233,0.0749407070767928,0.0231635729243929,0.0412355577512755,12419.9,26224.31,2945.91,302.01,8330.21,27192.45,3524.47,3855.76,1571.52,21658.15,13746.34,9349.0,2944.54,5610.05,11883.02,4435.56,644.59,272.25,2066.26,7549.06,15273.1,4124.08,172.15,1316.35,1464.85,10.8864,6.8792,0.8074,108.66,1183.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0207499610980367,-0.0010163405035773,0.0020647532327486,0.0045947382315907,0.0113049748617127,-0.756,1.854638676957297,-0.2159783830420998,2.782543682817032,-0.6725250131217024,1.315,0.0021680361235082,-0.0004730850659814,-4.2117064815392965e-05,0.0016043889827769,-0.003278025513323,134.45789012460324,-11.001445768268654,-6.582524731356184,37.90910049294283,95.76904031937936,0.0369843448751361,0.0384840075500474,0.0749518577429324,0.0231222310779332,0.0412860452052617,12535.192005362183,26434.779447488552,2983.120592108774,302.9505550982131,8371.199953416928,27222.76223848811,3548.408902886169,3835.0835368620815,1564.835229375116,21557.89047766946,13713.755646081405,9328.896389518346,2941.506511498647,5647.070648614085,12004.745164866676,4465.60168817163,633.0097256138691,270.0313274150819,2048.9445069245758,7620.064640867797,15303.335641383728,4157.055913584155,171.9408834208229,1314.6943008300002,1457.611151793285,10.877832614641196,6.888190976529778,0.8113036418789523,108.73366779917232,1183.1076961437889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0205216922722851,-0.0011703618647648,0.0020449176615347,0.0045423824859452,0.0114374252414033,-0.764185636127304,1.860659536875872,-0.214,2.79585377419271,-0.6784815898191231,1.315,0.0022450229994962,-0.0004979025388167,-0.0003167236594562,0.0017975899783463,-0.0032406218373532,134.90130127247036,-10.986965090649008,-6.585429369509259,37.88046138137872,95.6327278998769,0.0369829348708855,0.0385333049921384,0.0749634309907291,0.023081120178786,0.0413284039898316,12564.67071926096,26497.62815207489,2984.081132756757,302.27904565463365,8333.719909007878,27212.944876398884,3554.920200579781,3835.334811030085,1562.926020417059,21532.568926769487,13689.318472682491,9322.095116554969,2936.351287684171,5651.898723838848,11971.70430964796,4467.828721133404,622.1941862254619,267.94106197882684,2032.3162281314208,7672.113826555786,15320.439529850571,4180.865728068815,171.88862906632423,1316.115175918534,1453.1228705518813,10.871086447920826,6.89464951675186,0.8142788950733356,108.85189955235636,1183.668482156013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0203144061413802,-0.0013138112310491,0.0020274505097997,0.0044907544357358,0.0115569518129706,-0.768,1.8559,-0.209,2.8,-0.677,1.32,0.0023203106050093,-0.000517806811468,-0.0005975231678667,0.0019914787745348,-0.0031943465601668,135.3162437966617,-10.98616089437644,-6.59125287773302,37.852679764281895,95.49175743267509,0.0369828941993557,0.0385819758754304,0.0749753581977767,0.0230403424213441,0.0413618035405818,12417.47,26256.24,2945.6,301.46,8293.33,27221.35,3523.58,3869.73,1568.57,21616.8,13727.72,9354.28,2941.01,5601.1,11833.21,4427.18,618.78,267.75,2029.48,7686.61,15295.22,4186.17,171.72,1318.01,1444.92,10.8705,6.8934,0.8183,108.77,1182.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0201273153239571,-0.001446010271673,0.0020124464113521,0.0044399559208848,0.011663880245905,-0.765,1.8479,-0.214,2.785,-0.671,1.317,0.0023935375985319,-0.0005325919036059,-0.0008828640508458,0.0021854621882184,-0.0031389705696331,135.7,-11.0,-6.6,37.82583338827983,95.34682360895653,0.0369844016185245,0.0386296718880573,0.0749875707416691,0.023,0.0413854132931091,12147.24,25806.9,2892.07,300.72,8273.61,27198.02,3462.85,3924.31,1575.58,21709.31,13788.83,9399.1,2952.34,5511.07,11672.93,4357.97,625.64,268.95,2038.68,7646.77,15209.17,4164.69,171.6,1317.33,1434.97,10.8741,6.8845,0.8228,108.59,1181.14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
0.0199596324386508,-0.0015662806558792,0.002,0.0043900887813145,0.0117585362096968,-0.783,1.8681,-0.205,2.777,-0.693,1.302,0.002464342638548,-0.0005420518349008,-0.0011710947691922,0.0023789470362731,-0.0030742647536211,136.05041479113504,-11.029115163680816,-6.611632822895964,37.8,95.1986211199036,0.0369876358863696,0.0386760447181529,0.075,0.0229601775573942,0.0413984026830102,12189.04,25935.28,2915.61,297.43,8175.42,26864.27,3466.85,3930.13,1565.14,21521.53,13631.6,9326.61,2932.51,5518.9,11682.77,4363.57,630.18,266.34,2024.55,7586.78,15125.88,4134.03,172.62,1314.84,1443.42,10.9159,6.8841,0.8223,108.74,1187.32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.0198105701040963,-0.0016739440529107,0.0019901522279487,0.0043412548569474,0.0118412453738363,-0.776,1.75,-0.189,2.783,-0.69,1.32,0.0025323643835421,-0.0005459806250232,-0.0014605637837048,0.0025713401355748,-0.003,136.36758350202422,-11.07280288402836,-6.625942803459568,37.7752269654684,95.04784465669891,0.0369927757608688,0.0387207460538513,0.075012572413962,0.0229208895291585,0.0413999411458816,12253.15,26191.48,2943.71,294.84,8111.12,26583.42,3490.03,3944.66,1567.35,21540.99,13491.74,9268.05,2908.77,5557.41,11790.94,4394.3,622.26,265.73,2017.34,7584.87,15105.41,4132.23,173.42,1324.84,1450.12,11.1343,6.8986,0.8241,107.33,1195.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0196793409389286,-0.00176832213201,0.0019827293209914,0.0042935559877057,0.011912333407814,-0.792,1.7098,-0.204,2.772,-0.692,1.271,0.0025972414919982,-0.0005441722936437,-0.0017496195551823,0.0027620483029996,-0.0029160672077628,136.65216407045176,-11.1300255952642,-6.642678741342688,37.75144012830509,94.895188910525,0.037,0.0387634275832864,0.0750251946791438,0.0228821327991724,0.0413891981173201,11872.44,25626.16,2856.59,292.62,8004.07,26485.01,3376.12,3898.61,1533.46,21087.16,13305.25,9136.46,2867.84,5359.0,11501.28,4245.77,615.7,262.99,1998.13,7407.06,14812.18,4039.53,173.56,1337.85,1463.96,11.2983,6.9405,0.8226,106.58,1204.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0195651575617828,-0.00184873656242,0.001977503823318,0.0042470940135117,0.0119721259811203,-0.8075156354447913,1.6649509542283367,-0.2087805069557855,2.7758533847241456,-0.7022481090585302,1.26,0.0026586126224006,-0.0005364208604328,-0.0020366105444237,0.0029504783554233,-0.0028228373203991,136.90481443420188,-11.199745731609898,-6.661589436197208,37.728534951528665,94.74134857256422,0.0370094184416807,0.038803740994592,0.0750377685547325,0.0228439042513156,0.0413653430329223,11663.432868184744,25211.950200905,2792.710170111841,288.16711565065026,7851.637482644598,26153.212918412413,3309.726748848739,3879.4570603714265,1511.7469416137235,20801.774786022463,13176.239654156008,9066.3950178903,2848.9401094636787,5235.204588789135,11279.471655097415,4150.389195149184,606.0740331164039,260.9972220371733,1982.4138218904443,7288.334004686625,14605.53938531688,3976.870037007452,173.31680802947523,1351.5617657033008,1474.3633364705863,11.430817437667182,6.998208765151777,0.8225570398949412,106.08477170569444,1212.9445429188238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0194672325912938,-0.0019145090133835,0.0019742482791186,0.0042019707742877,0.0120209487632454,-0.8139377007471899,1.6074915153434488,-0.208,2.7841367816742766,-0.7126346624750859,1.26,0.0027161164332335,-0.0005225203450609,-0.0023198852122276,0.0031360371097221,-0.0027208012925222,137.1261925310588,-11.280925727287016,-6.682423687675009,37.70640689815769,94.58701833399924,0.0370208652435885,0.0388413379759023,0.0750501957999156,0.0228062007694676,0.0413275453282849,11658.97481684413,25089.9642791264,2774.431951436805,283.9413908728032,7729.947928090822,25772.14271497948,3306.473913273333,3877.669328729637,1507.5327070007895,20749.85808610804,13106.331215107435,9041.808880813356,2842.6290729112616,5222.996704077848,11212.482758039989,4137.617793166762,590.8613446346627,259.6261575126301,1968.660171490442,7251.774157430296,14537.06524349146,3957.2007738409393,172.97471387484103,1361.9868806264074,1478.53708700112,11.512653175623388,7.044716594948387,0.8237358527525741,105.77237593053444,1218.0784539816132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
